river_name,waterway,region_name,province,city_muni,selection_reason,award_company,award_project,award_stage,award_potential_mw,award_installed_mw,award_count,award_potential_mw_total,award_installed_mw_total,Power_MW,HPI,Status,Usable,Catchment,Catchment_km2,Relief_m,Runoff_mm_per_yr,Flow_m3s,HPI
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Santa Josefa,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Talacogon,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Trento,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Veruela,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region X (Northern Mindanao),Bukidnon,Manolo Fortich,awarded,FG Budinon Power Corporation,Agusan River Hydroelectric Power Plant,Commercial Operation,,1.6,2,,3.2,,30.0,Poor,False,,,,8830.0,,30.0
Aklan River,river,Region VI (Western Visayas),Aklan,Banga,high_potential,,,,,,0,,,0.0066,60.0,Good,True,Aklan,890.6,2103.0,15189.0,0.0004,60.0
Aklan River,river,Region VI (Western Visayas),Aklan,Kalibo (Capital),high_potential,,,,,,0,,,0.0066,60.0,Good,True,Aklan,890.6,2103.0,15189.0,0.0004,60.0
Aklan River,river,Region VI (Western Visayas),Aklan,Lezo,high_potential,,,,,,0,,,0.0066,60.0,Good,True,Aklan,890.6,2103.0,15189.0,0.0004,60.0
Aklan River,river,Region VI (Western Visayas),Aklan,Madalag,awarded,Oriental Energy and Power Corporation,Timbaban Hydroelectric Power Plant,Commercial Operation,18869.0,,1,18869.0,,0.0066,60.0,Good,True,Aklan,890.6,2103.0,15189.0,0.0004,60.0
Aklan River,river,Region VI (Western Visayas),Aklan,Malinao,high_potential,,,,,,0,,,0.0066,60.0,Good,True,Aklan,890.6,2103.0,15189.0,0.0004,60.0
Aklan River,river,Region VI (Western Visayas),Aklan,Numancia,high_potential,,,,,,0,,,0.0066,60.0,Good,True,Aklan,890.6,2103.0,15189.0,0.0004,60.0
Aklan River,river,Region VI (Western Visayas),Capiz,Jamindan,high_potential,,,,,,0,,,0.0085,60.1,Good,True,Aklan,890.6,2103.0,19495.0,0.0006,60.1
Aklan River,river,Region VI (Western Visayas),Capiz,Lambunao,high_potential,,,,,,0,,,0.0085,60.1,Good,True,Aklan,890.6,2103.0,19495.0,0.0006,60.1
Aklan River,river,Region VI (Western Visayas),Capiz,Tapaz,awarded,JBD Water Power (JWPI) Inc. ,Capiz Pumped Storage Hydroelectric Power Project,Pre-Development,250.0,,2,500.0,,0.0085,60.1,Good,True,Aklan,890.6,2103.0,19495.0,0.0006,60.1
Aklan River,river,Region VI (Western Visayas),Iloilo,Jamindan,high_potential,,,,,,0,,,0.0027,60.0,Good,True,Aklan,890.6,2103.0,6100.0,0.0002,60.0
Aklan River,river,Region VI (Western Visayas),Iloilo,Lambunao,high_potential,,,,,,0,,,0.0027,60.0,Good,True,Aklan,890.6,2103.0,6100.0,0.0002,60.0
Aklan River,river,Region VI (Western Visayas),Iloilo,Tapaz,high_potential,,,,,,0,,,0.0027,60.0,Good,True,Aklan,890.6,2103.0,6100.0,0.0002,60.0
Alae River,river,Region X (Northern Mindanao),Bukidnon,Manolo Fortich,awarded,FG Budinon Power Corporation,Agusan River Hydroelectric Power Plant,Commercial Operation,,1.6,2,,3.2,,30.0,Poor,False,,,,8830.0,,30.0
Alalum River,river,Region X (Northern Mindanao),Bukidnon,Impasug-ong,high_potential,,,,,,0,,,0.01,60.1,Good,True,Tagoloan,1678.5,2905.0,8830.0,0.0005,60.1
Alalum River,river,Region X (Northern Mindanao),Bukidnon,Sumilao,high_potential,,,,,,0,,,0.01,60.1,Good,True,Tagoloan,1678.5,2905.0,8830.0,0.0005,60.1
Alamay Falls 1,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,awarded,Upper Manupali Hydroelectric Power Corporation,Upper Manupali Hydroelectric Power Project,Development,4.4,,1,4.4,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Alamay Falls 2,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,awarded,Upper Manupali Hydroelectric Power Corporation,Upper Manupali Hydroelectric Power Project,Development,4.4,,1,4.4,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Alamay Falls 3,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,awarded,Upper Manupali Hydroelectric Power Corporation,Upper Manupali Hydroelectric Power Project,Development,4.4,,1,4.4,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Alamay Pool,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,awarded,Upper Manupali Hydroelectric Power Corporation,Upper Manupali Hydroelectric Power Project,Development,4.4,,1,4.4,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Alanib River,river,Region X (Northern Mindanao),Bukidnon,Lantapan,high_potential,,,,,,0,,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Alibunan River,river,Region VI (Western Visayas),Iloilo,Calinog,high_potential,,,,,,0,,,0.0047,60.0,Good,True,Jalaur,1686.9,1939.0,6100.0,0.0003,60.0
Alibunan River,stream,Region VI (Western Visayas),Iloilo,Lambunao,high_potential,,,,,,0,,,0.0047,60.0,Good,True,Jalaur,1686.9,1939.0,6100.0,0.0003,60.0
Alid River,stream,Mimaropa Region,Oriental Mindoro,Bansud,high_potential,,,,,,0,,,0.0046,60.0,Good,True,Bongabong,440.8,2308.0,19360.0,0.0003,60.0
Alid River,stream,Mimaropa Region,Oriental Mindoro,Bongabong,high_potential,,,,,,0,,,0.0046,60.0,Good,True,Bongabong,440.8,2308.0,19360.0,0.0003,60.0
Alimit River,river,Cordillera Administrative Region (CAR),Ifugao,Lagawe (Capital),high_potential,,,,,,0,,,0.3494,62.3,Good,True,Cagayan,27684.1,2871.0,18840.0,0.0165,62.3
Alimit River,river,Cordillera Administrative Region (CAR),Ifugao,Mayoyao,high_potential,,,,,,0,,,0.3494,62.3,Good,True,Cagayan,27684.1,2871.0,18840.0,0.0165,62.3
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Buluan,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Columbio,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Datu Paglas,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Pandag,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Aliwagwag River,river,Region XI (Davao Region),Davao Oriental,Cateel,high_potential,,,,,,0,,,0.0047,60.0,Good,True,Cateel,637.3,1775.0,17840.0,0.0004,60.0
Allah River,river,Region XII (Soccsksargen),South Cotabato,Bagumbayan,high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Esperanza,high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Isulan (Capital),high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Lake Sebu,awarded,"Euro Hydro Power (Asia) Holdings, Inc.",Lake Sebu Hydroelectric Power Project,Development,3.0,,3,9.0,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Lambayong (Mariano Marcos),high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Santo Niño,high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Sultan Sa Barongis (Lambayong),high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,Surallah,high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),South Cotabato,T'Boli,high_potential,,,,,,0,,,0.1702,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13380.0,0.0079,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Bagumbayan,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Esperanza,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Isulan (Capital),high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Lake Sebu,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Lambayong (Mariano Marcos),high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Santo Niño,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Sultan Sa Barongis (Lambayong),high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Surallah,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,T'Boli,high_potential,,,,,,0,,,0.1688,61.1,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,13270.0,0.0078,61.1
Ambalanga River,river,Cordillera Administrative Region (CAR),Benguet,Itogon,awarded,San Roque Hydropower Inc.,San Roque Upper East Pumped Storage Hydroelectric Power Project,Development,600.0,,2,1200.0,,0.0078,59.6,Moderate,False,Agno,5804.2,2924.0,1970.0,0.0004,59.6
Ambayaoan River,river,Region II (Cagayan Valley),Nueva Vizcaya,San Nicolas,high_potential,,,,,,0,,,0.0379,60.2,Good,True,Agno,5804.2,2924.0,9570.0,0.0018,60.2
Ambayaoan River,river,Region II (Cagayan Valley),Nueva Vizcaya,Santa Fe,high_potential,,,,,,0,,,0.0379,60.2,Good,True,Agno,5804.2,2924.0,9570.0,0.0018,60.2
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Alilem,awarded,Luzon Hydro Corporation,Bakun AC Hydroelectric Power Plant,Commercial Operation,,74.8,1,,74.8,0.0011,50.6,Moderate,False,Amburayan,1273.7,2716.0,1370.0,0.0001,50.6
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Sugpon,awarded,"Hedcor Benguet, Inc.",Kibungan 2 Hydroelectric Power Project,Development,40.0,,1,40.0,,0.0011,50.6,Moderate,False,Amburayan,1273.7,2716.0,1370.0,0.0001,50.6
Amio River,river,Region VII (Central Visayas),Negros Oriental,Pamplona,high_potential,,,,,,0,,,0.0002,60.0,Good,True,Sipocong,303.8,935.0,2951.0,0.0,60.0
Amio River,river,Region VII (Central Visayas),Negros Oriental,Santa Catalina,high_potential,,,,,,0,,,0.0002,60.0,Good,True,Sipocong,303.8,935.0,2951.0,0.0,60.0
Amliang Creek,stream,Cordillera Administrative Region (CAR),Benguet,Tuba,awarded,Goldlink Global Energy Corporation,Tadiangan Hydroelectric Power Project,Pre-Development,4.7,,6,23.099999999999998,,0.0004,59.6,Moderate,False,Aringay,392.2,2250.0,1970.0,0.0,59.6
Amusig River,river,Region X (Northern Mindanao),Bukidnon,Impasug-ong,high_potential,,,,,,0,,,0.01,60.1,Good,True,Tagoloan,1678.5,2905.0,8830.0,0.0005,60.1
Amusig River,river,Region X (Northern Mindanao),Bukidnon,Malitbog,high_potential,,,,,,0,,,0.01,60.1,Good,True,Tagoloan,1678.5,2905.0,8830.0,0.0005,60.1
