Name,Type,Region,Province,City_Muni,Lat,Lon
Agusungin River,river,Region III (Central Luzon),Zambales,Subic,14.797795,120.195722
Ajong River,river,Region VII (Central Visayas),Negros Oriental,Sibulan,9.364687,123.237009
Aklan River,river,Region VI (Western Visayas),Aklan,Banga,11.558195,122.308938
Aklan River,river,Region VI (Western Visayas),Aklan,Kalibo (Capital),11.726983,122.362033
Aklan River,river,Region VI (Western Visayas),Aklan,Lezo,11.6894,122.357193
Aklan River,river,Region VI (Western Visayas),Aklan,Madalag,11.558195,122.308938
Aklan River,river,Region VI (Western Visayas),Aklan,Malinao,11.656214,122.334227
Aklan River,river,Region VI (Western Visayas),Aklan,Numancia,11.726983,122.362033
Aklan River,river,Region VI (Western Visayas),Capiz,Jamindan,11.218641,122.279614
Aklan River,river,Region VI (Western Visayas),Capiz,Lambunao,11.218641,122.279614
Aklan River,river,Region VI (Western Visayas),Capiz,Tapaz,11.178339,122.259829
Aklan River,river,Region VI (Western Visayas),Iloilo,Jamindan,11.218641,122.279614
Aklan River,river,Region VI (Western Visayas),Iloilo,Lambunao,11.218641,122.279614
Aklan River,river,Region VI (Western Visayas),Iloilo,Tapaz,11.218641,122.279614
Alabang Creek,river,National Capital Region (NCR),Metropolitan Manila Fourth District,City of Muntinlupa,14.399496,121.023146
Alabel River,river,Region XII (Soccsksargen),Sarangani,Alabel (Capital),6.11168,125.288754
Alae River,river,Region X (Northern Mindanao),Bukidnon,Cagayan de Oro City (Capital),8.447517,124.815647
Alae River,river,Region X (Northern Mindanao),Bukidnon,Manolo Fortich,8.447517,124.815647
Alae River,river,Region X (Northern Mindanao),Bukidnon,Tagoloan,8.512085,124.776558
Alae River,river,Region X (Northern Mindanao),Misamis Oriental,Cagayan de Oro City (Capital),8.447517,124.815647
Alae River,river,Region X (Northern Mindanao),Misamis Oriental,Manolo Fortich,8.447517,124.815647
Alae River,river,Region X (Northern Mindanao),Misamis Oriental,Tagoloan,8.512085,124.776558
Alagoran Creek,river,Region X (Northern Mindanao),Camiguin,Sagay,9.103631,124.74088
Alagoran Creek,stream,Region X (Northern Mindanao),Camiguin,Sagay,9.127815,124.743214
Alalum River,river,Region X (Northern Mindanao),Bukidnon,Impasug-ong,8.294086,124.98123
Alalum River,river,Region X (Northern Mindanao),Bukidnon,Sumilao,8.294086,124.98123
Alamay Falls 1,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,7.972571,124.927224
Alamay Falls 2,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,7.971972,124.926919
Alamay Falls 3,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,7.97142,124.926645
Alamay Pool,river,Region X (Northern Mindanao),Bukidnon,City of Valencia,7.971042,124.926171
Alaminos River,river,Region I (Ilocos Region),Pangasinan,City of Alaminos,16.223332,119.971144
Alaminos River,river,Region I (Ilocos Region),Pangasinan,Labrador,16.078467,120.026192
Alaminos River,river,Region I (Ilocos Region),Pangasinan,Sual,16.078467,120.026192
Alang-Ilang,river,Region IV-A (Calabarzon),Cavite,City of General Trias,14.3626,120.881676
Alanib River,river,Region X (Northern Mindanao),Bukidnon,Lantapan,8.034015,124.96942
Alasas River,river,Region IV-A (Calabarzon),Cavite,Alfonso,14.200053,120.812957
Alasas River,river,Region IV-A (Calabarzon),Cavite,General Emilio Aguinaldo,14.200053,120.812957
Alasas River,river,Region IV-A (Calabarzon),Cavite,Maragondon,14.200053,120.812957
Alemang River,river,Region IV-A (Calabarzon),Cavite,Naic,14.292569,120.814644
Alemang River,river,Region IV-A (Calabarzon),Cavite,Tanza,14.292569,120.814644
Aliang River,river,Region IV-A (Calabarzon),Cavite,General Emilio Aguinaldo,14.189055,120.776621
Aliang River,river,Region IV-A (Calabarzon),Cavite,Magallanes,14.189055,120.776621
Alibunan River,river,Region VI (Western Visayas),Iloilo,Calinog,11.144608,122.454341
Alibunan River,river,Region VI (Western Visayas),Iloilo,Lambunao,11.13798,122.395369
Alibunan River,stream,Region VI (Western Visayas),Iloilo,Lambunao,11.119869,122.336689
Alid River,river,Mimaropa Region,Oriental Mindoro,Bongabong,12.74921,121.285995
Alid River,stream,Mimaropa Region,Oriental Mindoro,Bansud,12.754477,121.267472
Alid River,stream,Mimaropa Region,Oriental Mindoro,Bongabong,12.754477,121.267472
Alimanguan River,river,Mimaropa Region,Palawan,San Vicente,10.612056,119.327407
Alimit River,river,Cordillera Administrative Region (CAR),Ifugao,Lagawe (Capital),16.776919,121.28374
Alimit River,river,Cordillera Administrative Region (CAR),Ifugao,Mayoyao,16.776919,121.28374
Alimpaya River,river,Region IX (Zamboanga Peninsula),Zamboanga del Norte,Sibuco,7.129387,121.941871
Alimpaya River,river,Region IX (Zamboanga Peninsula),Zamboanga del Norte,Zamboanga City,7.129387,121.941871
Alimpaya River,river,Region IX (Zamboanga Peninsula),Zamboanga del Sur,Sibuco,7.129387,121.941871
Alimpaya River,river,Region IX (Zamboanga Peninsula),Zamboanga del Sur,Zamboanga City,7.149077,121.906437
Alip River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Buluan,6.71539,124.921892
Alip River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Columbio,6.71539,124.921892
Alip River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Paglas,6.71539,124.921892
Alip River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Pandag,6.71539,124.921892
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Buluan,6.71539,124.921892
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Columbio,6.641858,125.051031
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Datu Paglas,6.71539,124.921892
Alip River,river,Region XII (Soccsksargen),Sultan Kudarat,Pandag,6.71539,124.921892
Alipasa River,stream,Region VIII (Eastern Visayas),Leyte,Isabel,10.919268,124.442517
Alitao,river,Region IV-A (Calabarzon),Quezon,City of Tayabas,14.034263,121.575054
Alitao River,river,Region IV-A (Calabarzon),Quezon,City of Tayabas,13.97045,121.606361
Alitao River,river,Region IV-A (Calabarzon),Quezon,Lucena City (Capital),13.97045,121.606361
Aliuanay Creek,stream,Region VI (Western Visayas),Negros Occidental,City of Escalante,10.85247,123.460011
Aliwagwag River,river,Region XI (Davao Region),Davao Oriental,Cateel,7.747372,126.282719
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Bagumbayan,6.576317,124.595502
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Esperanza,6.576317,124.595502
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Isulan (Capital),6.576317,124.595502
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Lake Sebu,6.576317,124.595502
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Lambayong (Mariano Marcos),6.873262,124.609372
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Santo Niño,6.576317,124.595502
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Sultan Sa Barongis (Lambayong),6.873262,124.609372
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Surallah,6.576317,124.595502
Allah River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,T'Boli,6.576317,124.595502
Allah River,river,Region XII (Soccsksargen),South Cotabato,Bagumbayan,6.474874,124.617901
Allah River,river,Region XII (Soccsksargen),South Cotabato,Esperanza,6.576317,124.595502
Allah River,river,Region XII (Soccsksargen),South Cotabato,Isulan (Capital),6.474874,124.617901
Allah River,river,Region XII (Soccsksargen),South Cotabato,Lake Sebu,6.232765,124.79214
Allah River,river,Region XII (Soccsksargen),South Cotabato,Lambayong (Mariano Marcos),6.576317,124.595502
Allah River,river,Region XII (Soccsksargen),South Cotabato,Santo Niño,6.497188,124.613928
Allah River,river,Region XII (Soccsksargen),South Cotabato,Sultan Sa Barongis (Lambayong),6.576317,124.595502
Allah River,river,Region XII (Soccsksargen),South Cotabato,Surallah,6.426203,124.667612
Allah River,river,Region XII (Soccsksargen),South Cotabato,T'Boli,6.232765,124.79214
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Bagumbayan,6.513749,124.609948
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Esperanza,6.688195,124.580423
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Isulan (Capital),6.513749,124.609948
Allah River,river,Region XII (Soccsksargen),Sultan Kudarat,Lake Sebu,6.576317,124.595502
